metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.96024,0.93824,0.98129,0.66453,1.16947,0.4845,1.12056,0,354.2296721935272,False,1,69709_00003,2023-05-13_14-40-05,1683960005,354.2296721935272,36228,DaveJammin_TUF,127.0.0.1,354.2296721935272,1
0.9596,0.94088,0.98067,0.67318,1.14909,0.47543,1.10983,1,122.28263854980469,False,2,69709_00003,2023-05-13_14-42-08,1683960128,476.5123107433319,36228,DaveJammin_TUF,127.0.0.1,476.5123107433319,2
0.96486,0.93483,0.98056,0.67467,1.145,0.47431,1.10516,2,141.54852890968323,False,3,69709_00003,2023-05-13_14-44-29,1683960269,618.0608396530151,36228,DaveJammin_TUF,127.0.0.1,618.0608396530151,3
0.96099,0.93892,0.98059,0.67656,1.14059,0.47168,1.10502,3,155.9684715270996,False,4,69709_00003,2023-05-13_14-47-05,1683960425,774.0293111801147,36228,DaveJammin_TUF,127.0.0.1,774.0293111801147,4
0.96051,0.93865,0.98028,0.67524,1.14569,0.46981,1.10319,4,164.99395203590393,False,5,69709_00003,2023-05-13_14-49-50,1683960590,939.0232632160187,36228,DaveJammin_TUF,127.0.0.1,939.0232632160187,5
0.95928,0.94275,0.98103,0.67771,1.14231,0.46754,1.10201,5,154.80980801582336,False,6,69709_00003,2023-05-13_14-52-25,1683960745,1093.833071231842,36228,DaveJammin_TUF,127.0.0.1,1093.833071231842,6
0.96403,0.93825,0.98117,0.67615,1.14499,0.46725,1.1018,6,158.79697799682617,False,7,69709_00003,2023-05-13_14-55-04,1683960904,1252.6300492286682,36228,DaveJammin_TUF,127.0.0.1,1252.6300492286682,7
0.95843,0.94284,0.98115,0.67767,1.14159,0.46515,1.10302,7,139.94299817085266,False,8,69709_00003,2023-05-13_14-57-24,1683961044,1392.5730473995209,36228,DaveJammin_TUF,127.0.0.1,1392.5730473995209,8
0.95266,0.94735,0.9808,0.67735,1.14083,0.46465,1.10302,8,141.4216606616974,False,9,69709_00003,2023-05-13_14-59-45,1683961185,1533.9947080612183,36228,DaveJammin_TUF,127.0.0.1,1533.9947080612183,9
0.96286,0.9379,0.98132,0.67852,1.13956,0.46176,1.10107,9,125.38390970230103,False,10,69709_00003,2023-05-13_15-01-50,1683961310,1659.3786177635193,36228,DaveJammin_TUF,127.0.0.1,1659.3786177635193,10
0.9630100273724719,0.9384104267825198,0.9819171830901267,0.6788961687706643,,,,9,27.677927017211914,False,11,69709_00003,2023-05-13_15-02-18,1683961338,1687.0565447807312,36228,DaveJammin_TUF,127.0.0.1,1687.0565447807312,11
